Lek	ALL
؋	AFN
$	ARS
ƒ	AWG
$	AUD
₼	AZN
$	BSD
$	BBD
Br	BYN
BZ$	BZD
$	BMD
$b	BOB
KM	BAM
P	BWP
лв	BGN
R$	BRL
$	BND
៛	KHR
$	CAD
$	KYD
$	CLP
¥	CNY
$	COP
₡	CRC
kn	HRK
₱	CUP
Kč	CZK
kr	DKK
RD$	DOP
$	XCD
£	EGP
$	SVC
€	EUR
£	FKP
$	FJD
¢	GHS
£	GIP
Q	GTQ
£	GGP
$	GYD
L	HNL
$	HKD
Ft	HUF
kr	ISK
Rp	IDR
﷼	IRR
£	IMP
₪	ILS
J$	JMD
¥	JPY
£	JEP
лв	KZT
₩	KPW
₩	KRW
лв	KGS
₭	LAK
£	LBP
$	LRD
ден	MKD
RM	MYR
₨	MUR
$	MXN
₮	MNT
MT	MZN
$	NAD
₨	NPR
ƒ	ANG
$	NZD
C$	NIO
₦	NGN
kr	NOK
﷼	OMR
₨	PKR
B/.	PAB
Gs	PYG
S/.	PEN
₱	PHP
zł	PLN
﷼	QAR
lei	RON
₽	RUB
£	SHP
﷼	SAR
Дин.	RSD
₨	SCR
$	SGD
$	SBD
S	SOS
R	ZAR
₨	LKR
kr	SEK
CHF	CHF
$	SRD
£	SYP
NT$	TWD
฿	THB
TT$	TTD
$	TVD
₴	UAH
£	GBP
$	USD
$U	UYU
лв	UZS
Bs	VEF
₫	VND
﷼	YER
Z$	ZWD
